Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,,
