feature,importance
Unnamed: 0,0.0786313487034552
musclepain,0.01626535229254232
diarrhoea,0.016125275221066063
sweating,0.014711538001080817
chestpain,0.014401552789315026
fatigue,0.014186048468257146
vomiting,0.014057873937222576
yellowingofeyes,0.014019295814153135
head_pain,0.013936139165062594
familyhistory,0.013775403092483514
mildfever,0.013593560890891965
highfever,0.012591038599091584
patchesinthroat,0.012079923975095285
scurring,0.0118343000553003
jointpain,0.011822065267293957
itching,0.011557481426888115
rustysputum,0.011448012958004667
bloodystool,0.011441915171853851
yellowishskin,0.01143579252226507
nausea,0.011246499900946148
lossofappetite,0.010665145174341402
fluidoverload,0.010642912484320524
movementstiffness,0.010428457601222874
malaise,0.010248072880073733
darkurine,0.010246820746513062
abdominalpain,0.010210577137693624
chills,0.010105702266644064
breathlessness,0.009979175985402246
redspotsoverbody,0.00997237157004824
yellowcrustooze,0.009687084564593723
muscleweakness,0.009597513850578306
indigestion,0.009273934253967189
dizziness,0.009175365005928382
backpain,0.008930738588711988
painbehindtheeyes,0.008840910970450927
constipation,0.008722180406776742
stomachpain,0.00870268318356689
skinrash,0.008574321205883426
burningmicturition,0.008392213034894885
swollenbloodvessels,0.008225093936032485
phlegm,0.008201675687523988
cough,0.008159864264402452
irritability,0.008018169613594828
weightloss,0.007973108375188238
receivingbloodtransfusion,0.0079465655280295
unsteadiness,0.007889935034268889
abnormalmenstruation,0.007732401054489445
stomachbleeding,0.007668465921556238
neckpain,0.007616927643418743
ulcersontongue,0.00755573380885211
alteredsensorium,0.007516255914976107
mucoidsputum,0.007487863520546684
spinningmovements,0.007407450176809866
bloodinsputum,0.007370767343640204
coma,0.0072851469068164485
lossofbalance,0.007245293452299316
acidity,0.007170924631701759
lackofconcentration,0.007133607045486833
restlessness,0.007080869229014492
excessivehunger,0.007072153198599862
dehydration,0.006972795822585568
fastheartrate,0.006965437702810094
obesity,0.006830009157228917
continuoussneezing,0.006796870271447584
increasedappetite,0.006533879624584774
polyuria,0.006470693606416636
passageofgases,0.006465215967775651
receivingunsterileinjections,0.006438942186090693
stiffneck,0.006215960441071393
hipjointpain,0.00616883514809657
spotting_urination,0.0061084822432113505
swellingjoints,0.0060064976377143895
enlargedthyroid,0.005910187708176958
weaknessofonebodyside,0.005849493352356716
kneepain,0.005821826268340404
bellypain,0.005780276653514766
bladderdiscomfort,0.005780004064653479
blurredanddistortedvision,0.005770510547112807
swelledlymphnodes,0.005588793539268489
palpitations,0.005576059190293009
painduringbowelmovements,0.005573420341989792
slurredspeech,0.005567294922401997
silverlikedusting,0.005388550524200416
internalitching,0.00530425125647961
toxiclooktyphos,0.005283671906959308
prominentveinsoncalf,0.005191682580072887
shivering,0.005180199344703913
depression,0.0051180039996530395
blister,0.005113372132560568
inflammatorynails,0.0050367982983774255
visualdisturbances,0.004853932700664542
continuousfeelofurine,0.0048218169592087815
weaknessinlimbs,0.0048139889828913655
blackheads,0.004757171949664292
musclewasting,0.0047461337728883606
swollenlegs,0.00473456058569277
smalldentsinnails,0.004611820137888422
historyofalcoholconsumption,0.0046056395309509255
swollenextremeties,0.004454256290508673
dischromic_patches,0.004420179126553604
paininanalregion,0.004376186910069168
nodalskineruptions,0.004364118132107966
foulsmellof_urine,0.004268823754122523
lossofsmell,0.00405197173046495
wateringfromeyes,0.004020901479260349
painfulwalking,0.003993791273031497
brittlenails,0.003933675801171699
bruising,0.003921776371189154
yellowurine,0.003905698092384956
distentionofabdomen,0.003878056936382209
swellingofstomach,0.003874862625199889
acuteliverfailure,0.0038731239783905713
extramaritalcontacts,0.0038004476622529853
sunkeneyes,0.003732357444831735
runnynose,0.0037075689641698825
throatirritation,0.0035389686082239035
skinpeeling,0.0035381633272897613
congestion,0.0034452078031148715
anxiety,0.003348597506030145
redsorearoundnose,0.003333555638629958
rednessofeyes,0.003299804152470629
cramps,0.003128211329694853
pusfilledpimples,0.0031115083997178545
dryingandtinglinglips,0.003043188031393419
moodswings,0.0029280458790890735
irregularsugarlevel,0.0028742195264546823
irritationinanus,0.002581665974943489
sinuspressure,0.002364031474387722
puffyfaceandeyes,0.002216225245511312
coldhandsandfeets,0.0014378297420074848
weightgain,0.0011650282778202965
not_available,0.0
